Arrondissement,Point Order,PolygonID,Latitude,Longitude
Ville-Marie,505,66023,-73.58849289,45.49031109
Ville-Marie,506,66023,-73.58658097,45.48969109
Ville-Marie,507,66023,-73.58488007,45.48914175
Ville-Marie,508,66023,-73.58464797,45.48906397
Ville-Marie,509,66023,-73.58430328,45.48894848
Ville-Marie,510,66023,-73.58384786,45.48879832
Ville-Marie,511,66023,-73.58359603,45.48871855
Ville-Marie,512,66023,-73.58347464,45.48868007
Ville-Marie,513,66023,-73.58256812,45.4883974
Ville-Marie,514,66023,-73.58250124,45.48837496
Ville-Marie,515,66023,-73.58241257,45.48834416
Ville-Marie,516,66023,-73.58313442,45.48812562
Ville-Marie,517,66023,-73.58175011,45.48699863
Ville-Marie,518,66023,-73.58152408,45.48671567
Ville-Marie,519,66023,-73.58077562,45.48720167
Ville-Marie,520,66023,-73.58032075,45.48750277
Ville-Marie,521,66023,-73.57884978,45.4885271
Ville-Marie,522,66023,-73.57844347,45.48883728
Ville-Marie,523,66023,-73.5782546,45.48898154
Ville-Marie,524,66023,-73.5769826,45.48996404
Ville-Marie,525,66023,-73.57618301,45.49055333
Ville-Marie,526,66023,-73.57307311,45.49290816
Ville-Marie,527,66023,-73.56984552,45.49136237
Ville-Marie,528,66023,-73.5687328,45.49085229
Ville-Marie,529,66023,-73.56717888,45.49009234
Ville-Marie,530,66023,-73.56450088,45.49326431
Ville-Marie,531,66023,-73.56383884,45.49415631
Ville-Marie,532,66023,-73.56309289,45.49525127
Ville-Marie,533,66023,-73.56234284,45.49647221
Ville-Marie,534,66023,-73.56138193,45.49831609
Ville-Marie,535,66023,-73.55954585,45.49743617
Ville-Marie,536,66023,-73.55865587,45.49706416
Ville-Marie,537,66023,-73.5560688,45.49606526
Ville-Marie,538,66023,-73.55563777,45.4958513
Ville-Marie,539,66023,-73.55509776,45.49543932
Ville-Marie,540,66023,-73.55464178,45.49491832
Ville-Marie,541,66023,-73.5542789,45.4941703
Ville-Marie,542,66023,-73.55382196,45.49302734
Ville-Marie,543,66023,-73.55344492,45.49245831
Ville-Marie,544,66023,-73.55275003,45.49165932
Ville-Marie,545,66023,-73.55198897,45.49110631
Ville-Marie,546,66023,-73.55176701,45.49095531
Ville-Marie,547,66023,-73.55151594,45.49080838
Ville-Marie,548,66023,-73.551345,45.49071432
Ville-Marie,549,66023,-73.55113797,45.49060831
Ville-Marie,550,66023,-73.55096799,45.49052731
Ville-Marie,551,66023,-73.55085197,45.49047732
Ville-Marie,552,66023,-73.55068898,45.49040738
Ville-Marie,553,66023,-73.55048102,45.49032639
Ville-Marie,554,66023,-73.55026694,45.49025035
Ville-Marie,555,66023,-73.55008897,45.49019139
